Savings Account Number,Identification Number,Last Name,Date of Birth,Checking Account Number,Credit Account Number,Phone Number,Checking Starting Balance,Savings Starting Balance,Credit Max,Credit Starting Balance,Address,First Name
2000,1,Mouse,13-Jun-73,1000,3000,(714) 781-4636,812.85,60.98,7521,-989.07,"1313 Disneyland Dr, Anaheim, CA 92802",Mickey
2001,2,Duck,24-Apr-14,1001,3001,(714) 781-4636,1484.29,2940.36,5119,-2.69,"1313 Disneyland Dr, Anaheim, CA 92802",Donald
2002,3,Mouse,25-Dec-83,1002,3002,(714) 781-4636,1349.72,4948.32,4768,-1797.45,"1313 Disneyland Dr, Anaheim, CA 92802",Minnie
2003,4,Disney,3-Oct-42,1003,3003,(714) 781-4636,687.52,1740.07,8167,-1972.29,"1313 Disneyland Dr, Anaheim, CA 92802",Goofy
2004,5,Disney,14-Nov-69,1004,3004,(714) 781-4636,597.14,3557.77,7890,-1510.97,"1313 Disneyland Dr, Anaheim, CA 92802",Pluto
2005,6,Disney,22-Sep-36,1005,3005,(714) 781-4636,1354.66,2138.39,3676,-1165.7,"1313 Disneyland Dr, Anaheim, CA 92802",Chip
2006,7,Disney,13-Feb-62,1006,3006,(714) 781-4636,1124.54,4732.59,3142,-1473.04,"1313 Disneyland Dr, Anaheim, CA 92802",Dale
2007,8,Disney,7-Feb-57,1007,3007,(714) 781-4636,1532.36,2224.11,4627,-526.31,"1313 Disneyland Dr, Anaheim, CA 92802",Cinderella
2008,9,Disney,22-Sep-04,1008,3008,(714) 781-4636,1202.08,2826.94,9947,-326.22,"1313 Disneyland Dr, Anaheim, CA 92802",Ariel
2009,10,Disney,29-Jul-89,1009,3009,(714) 781-4636,1404.59,2048.29,8614,-1354.45,"1313 Disneyland Dr, Anaheim, CA 92802",Jasmine
2010,11,Disney,15-Sep-70,1010,3010,(714) 781-4636,1302.91,1829.47,8099,-1688,"1313 Disneyland Dr, Anaheim, CA 92802",Aladdin
2011,12,Disney,28-Sep-50,1011,3011,(714) 781-4636,259.09,2553.99,7814,-768.18,"1313 Disneyland Dr, Anaheim, CA 92802",Simba
2012,13,Disney,13-Dec-59,1012,3012,(714) 781-4636,1741.23,1015.2,7199,-1426.5,"1313 Disneyland Dr, Anaheim, CA 92802",Mufassa
2013,14,Disney,14-Dec-69,1013,3013,(714) 781-4636,683.71,3459.47,6592,-1633.64,"1313 Disneyland Dr, Anaheim, CA 92802",Aurora
2014,15,Pan,17-Apr-04,1014,3014,(714) 781-4636,486.17,991.35,7646,-671.75,"1313 Disneyland Dr, Anaheim, CA 92802",Peter
2015,16,Disney,29-May-81,1015,3015,(714) 781-4636,1465.52,683.76,3905,-432.15,"1313 Disneyland Dr, Anaheim, CA 92802",Woody
2016,17,Lightyear,30-Apr-30,1016,3016,(714) 781-4636,1001.5,800.5,9296,-1264.6,"1313 Disneyland Dr, Anaheim, CA 92802",Buzz
2017,18,Aladdin,25-Jul-41,1017,3017,(714) 781-4636,1566.97,2935.08,5906,-284.98,"1313 Disneyland Dr, Anaheim, CA 92802",Jafar
2018,19,Mermaid,13-Feb-65,1018,3018,(714) 781-4636,1908.35,2690.47,3423,-1648.7,"1313 Disneyland Dr, Anaheim, CA 92802",Ursela
2019,20,Disney,12-Sep-65,1019,3019,(714) 781-4636,1315.73,1261.45,8168,-6.48,"1313 Disneyland Dr, Anaheim, CA 92802",Beast
2020,21,Disney,13-Jan-47,1020,3020,(714) 781-4636,1456.65,525.13,9601,-371.28,"1313 Disneyland Dr, Anaheim, CA 92802",Belle
2021,22,De Vil,19-Jun-14,1021,3021,(714) 781-4636,1449.05,4898.3,8021,-1618.09,"1313 Disneyland Dr, Anaheim, CA 92802",Cruella
2022,23,Lion,9-Dec-96,1022,3022,(714) 781-4636,843.84,518.43,6306,-1457.28,"1313 Disneyland Dr, Anaheim, CA 92802",Scar
2023,24,King,6-Jun-34,1023,3023,(714) 781-4636,613.55,2662.29,8578,-551.66,"1313 Disneyland Dr, Anaheim, CA 92802",Simba
2024,25,Disney,8-Jul-78,1024,3024,(714) 781-4636,864.15,394.7,6533,-507.04,"1313 Disneyland Dr, Anaheim, CA 92802",Gaston
2025,26,Khan,8-Oct-56,1025,3025,(714) 781-4636,1509.87,3489.4,5854,-857.71,"1313 Disneyland Dr, Anaheim, CA 92802",Shere
2026,27,Hook,20-Aug-73,1026,3026,(714) 781-4636,1259.78,2882.01,4134,-1589.27,"1313 Disneyland Dr, Anaheim, CA 92802",Captaiin
